 2019-Apr-13 00:00, ,m, 04 43 12.42, +52 30 23.8,    04 44 40.59, +52 32 31.3,  24.09612,  -14.2862,  328.284911,    -7.598546,    n.a.,   n.a.,   21.014,   n.a.,   99.38424,   5.518446463648,-33.3009660,  5.95959309832381,-13.3195518,   59.4807,/T,    9.0035,   61.456, 304.942,  154.078483,  4.257460,   0.4668803,  120.66298,  -21.60806,         n.a.,    n.a.,
 2019-Apr-14 00:00, ,m, 04 44 16.69, +52 24 48.5,    04 45 44.79, +52 26 54.3,  24.42837,  -14.2416,  327.921410,    -7.863471,    n.a.,   n.a.,   21.005,   n.a.,   99.38860,   5.499215530655,-33.2910435,  5.95173034274152,-13.4867642,   58.7810,/T,    8.9715,   61.101, 305.119,  154.256026,  4.320176,   0.4712773,  120.24194,  -21.69496,         n.a.,    n.a.,
 2019-Apr-15 00:00, ,m, 04 45 21.67, +52 19 14.4,    04 46 49.71, +52 21 18.4,  24.75849,  -14.1990,  327.560946,    -8.131161,    n.a.,   n.a.,   20.995,   n.a.,   99.39313,   5.479990364945,-33.2809569,  5.94376899931351,-13.6569062,   58.0844,/T,    8.9382,   60.745, 305.292,  154.434555,  4.385370,   0.4756853,  119.83432,  -21.78497,         n.a.,    n.a.,
 2019-Apr-16 00:00, ,m, 04 46 27.37, +52 13 41.3,    04 47 55.35, +52 15 43.5,  25.08663,  -14.1586,  327.203491,    -8.401546,    n.a.,   n.a.,   20.985,   n.a.,   99.39781,   5.460771061866,-33.2707037,  5.93570745532124,-13.8297773,   57.3910,/T,    8.9037,   60.386, 305.462,  154.614054,  4.453035,   0.4801053,  119.43980,  -21.87768,         n.a.,    n.a.,
 2019-Apr-17 00:00, ,m, 04 47 33.78, +52 08 09.2,    04 49 01.68, +52 10 09.6,  25.41296,  -14.1202,  326.849024,    -8.674557,    n.a.,   n.a.,   20.975,   n.a.,   99.40265,   5.441557718346,-33.2602809,  5.92754420354844,-14.0052156,   56.7008,/T,    8.8678,   60.026, 305.630,  154.794510,  4.523166,   0.4845387,  119.05794,  -21.97276,         n.a.,    n.a.,
 2019-Apr-18 00:00, ,m, 04 48 40.89, +52 02 38.1,    04 50 08.72, +52 04 36.6,  25.73765,  -14.0841,  326.497519,    -8.950125,    n.a.,   n.a.,   20.965,   n.a.,   99.40764,   5.422350432911,-33.2496859,  5.91927781552327,-14.1831124,   56.0139,/T,    8.8307,   59.664, 305.794,  154.975910,  4.595757,   0.4889868,  118.68831,  -22.06995,         n.a.,    n.a.,
 2019-Apr-19 00:00, ,m, 04 49 48.70, +51 57 07.9,    04 51 16.46, +51 59 04.4,  26.06088,  -14.0502,  326.148954,    -9.228185,    n.a.,   n.a.,   20.955,   n.a.,   99.41277,   5.403149305716,-33.2389159,  5.91090690799924,-14.3634198,   55.3303,/T,    8.7923,   59.299, 305.957,  155.158243,  4.670803,   0.4934507,  118.33042,  -22.16910,         n.a.,    n.a.,
 2019-Apr-20 00:00, ,m, 04 50 57.19, +51 51 38.5,    04 52 24.88, +51 53 33.1,  26.38279,  -14.0184,  325.803309,    -9.508671,    n.a.,   n.a.,   20.945,   n.a.,   99.41804,   5.383954438571,-33.2279678,  5.90243010859995,-14.5461463,   54.6500,/T,    8.7528,   58.932, 306.117,  155.341497,  4.748301,   0.4979311,  117.98379,  -22.27016,         n.a.,    n.a.,
 2019-Apr-21 00:00, ,m, 04 52 06.37, +51 46 09.9,    04 53 34.00, +51 48 02.5,  26.70349,  -13.9887,  325.460561,    -9.791521,    n.a.,   n.a.,   20.935,   n.a.,   99.42345,   5.364765934965,-33.2168389,  5.89384602771469,-14.7313396,   53.9730,/T,    8.7120,   58.561, 306.274,  155.525662,  4.828248,   0.5024278,  117.64800,  -22.37316,         n.a.,    n.a.,
 2019-Apr-22 00:00, , , 04 53 16.23, +51 40 42.0,    04 54 43.80, +51 42 32.6,  27.02302,  -13.9612,  325.120688,   -10.076674,    n.a.,   n.a.,   20.925,   n.a.,   99.42898,   5.345583900099,-33.2055261,  5.88515324186856,-14.9190652,   53.2995,/T,    8.6700,   58.188, 306.430,  155.710727,  4.910641,   0.5069402,  117.32268,  -22.47818,         n.a.,    n.a.,
